MsgID.GLOBAL_POSITION,0.0000000,-122.3957733,37.7932921,3.6180000
MsgID.LOCAL_VELOCITY,0.0000000,1.6600000,0.0000000,1.0100000
MsgID.LOCAL_POSITION,126.0780000,1.1743315,0.1332143,-3.6185064
MsgID.LOCAL_VELOCITY,126.0780000,1.6651665,0.0045127,1.0115069
MsgID.GLOBAL_POSITION,0.0000000,-122.3957747,37.7932988,3.2490000
MsgID.LOCAL_VELOCITY,0.0000000,2.4000000,0.0000000,1.7700000
MsgID.LOCAL_POSITION,126.3280000,1.9185545,0.0118010,-3.2495041
MsgID.LOCAL_VELOCITY,126.3280000,2.4085128,-0.0045976,1.7793052
MsgID.GLOBAL_POSITION,0.0000000,-122.3957749,37.7933051,2.8860000
MsgID.LOCAL_VELOCITY,0.0000000,4.0800000,0.0000000,0.7200000
MsgID.LOCAL_POSITION,126.5780000,2.6199884,-0.0067013,-2.8861165
MsgID.LOCAL_VELOCITY,126.5780000,4.0866170,-0.0052729,0.7259352
MsgID.GLOBAL_POSITION,0.0000000,-122.3957736,37.7933152,2.8990000
MsgID.LOCAL_VELOCITY,0.0000000,5.8500000,0.0000000,-0.6300000
MsgID.LOCAL_POSITION,126.8280000,3.7430460,0.1074788,-2.8996592
MsgID.LOCAL_VELOCITY,126.8280000,5.8560953,-0.0030166,-0.6360266
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957748,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957736,37.7933301,3.0310000
MsgID.LOCAL_VELOCITY,0.0000000,6.6000000,-0.0200000,-0.2300000
MsgID.LOCAL_POSITION,127.0780000,5.4048214,0.1054712,-3.0316572
MsgID.LOCAL_VELOCITY,127.0780000,6.6029081,-0.0262143,-0.2387383
MsgID.GLOBAL_POSITION,0.0000000,-122.3957743,37.7933452,3.0190000
MsgID.LOCAL_VELOCITY,0.0000000,7.2200000,-0.0500000,0.2700000
MsgID.LOCAL_POSITION,127.3280000,7.0747261,0.0417792,-3.0195229
MsgID.LOCAL_VELOCITY,127.3280000,7.2281489,-0.0511448,0.2788682
MsgID.LOCAL_POSITION,127.5780000,8.9366579,-0.1002991,-2.9889512
MsgID.LOCAL_VELOCITY,127.5780000,8.1612244,-0.0397762,0.0871931
MsgID.GLOBAL_POSITION,0.0000000,-122.3957759,37.7933619,2.9880000
MsgID.LOCAL_VELOCITY,0.0000000,8.1600000,-0.0300000,0.0800000
MsgID.LOCAL_POSITION,127.8280000,11.2100592,-0.0293427,-3.0026801
MsgID.LOCAL_VELOCITY,127.8280000,8.6384649,0.0509091,0.0389929
MsgID.GLOBAL_POSITION,0.0000000,-122.3957751,37.7933824,3.0020000
